feature,rf_importance,rf_importance_norm,mic_score,mic_norm,combined_score
vol_half_above_4d,0.056954053735799856,0.056954053735799856,0.08393758410007486,1.0,0.5284770268678999
volatility_5d,0.028204618662215204,0.028204618662215204,0.06701765205671494,0.7984224561051569,0.4133135373836861
K_slope,0.027643812473000018,0.027643812473000018,0.059958828516936846,0.7143263552290323,0.37098508385101614
J_slope,0.020342923466532038,0.020342923466532038,0.06057109080228888,0.7216206119307985,0.37098176769866525
ret_1d,0.025324789116093434,0.025324789116093434,0.05383047169687235,0.6413154759457074,0.3333201325309004
K_D_cross,0.018701512035716808,0.018701512035716808,0.050857020346005664,0.6058909234910933,0.31229621776340505
vol_double,0.05234357461824065,0.05234357461824065,0.04238351673672038,0.5049408699467511,0.2786422222824959
D,0.012619968043814359,0.012619968043814359,0.045203735247942904,0.538539865455844,0.2755799167498292
brick_change,0.02033285806934208,0.02033285806934208,0.04411293803061851,0.5255445281582648,0.2729386931138034
vol_ratio_5,0.024893255474139658,0.024893255474139658,0.03669744563535646,0.43719921211460894,0.2310462337943743
close_yellow_ratio,0.013153796823739575,0.013153796823739575,0.036911785969726565,0.4397527801815021,0.22645328850262084
brick_red_streak,0.004488350183550683,0.004488350183550683,0.03699545650815492,0.44074959870237584,0.22261897444296327
ma_5_20_cross,0.0003392728389030708,0.0003392728389030708,0.03590099083402533,0.42771055682544135,0.2140249148321722
lower_shadow,0.015048506734462515,0.015048506734462515,0.03299782194262354,0.39312332248307,0.20408591460876627
BB_width,0.01189585597437441,0.01189585597437441,0.032663249767022055,0.389137358636379,0.2005166073053767
ma_60_bias,0.011841986278684444,0.011841986278684444,0.03261966300957445,0.3886180828207249,0.20023003454970467
brick_var6a,0.010286740262646785,0.010286740262646785,0.03259285290763806,0.38829867760762715,0.19929270893513698
brick_val,0.008977182043088805,0.008977182043088805,0.03259285290763806,0.38829867760762715,0.19863792982535797
volatility_20d,0.04220501202389432,0.04220501202389432,0.029118750163829674,0.34690955757212105,0.19455728479800768
brick_green_streak,0.00015444935650673768,0.00015444935650673768,0.031105898525465043,0.37058367665644193,0.18536906300647432
ma_20_bias,0.00999172788385368,0.00999172788385368,0.029752019537529012,0.35445408462146194,0.1822229062526578
brick_red,7.130707979379325e-05,7.130707979379325e-05,0.029546313039844934,0.35200337675454474,0.17603734191716927
brick_falling,5.386988968750486e-05,5.386988968750486e-05,0.029546313039844976,0.35200337675454524,0.17602862332211638
brick_rising,2.6256446394503492e-05,2.6256446394503492e-05,0.029546313039844934,0.35200337675454474,0.1760148166004696
amplitude,0.013247947509420845,0.013247947509420845,0.028402700225792877,0.3383788148099386,0.1758133811596797
RSI_12,0.01561527251800801,0.01561527251800801,0.02661834002300533,0.317120635629321,0.1663679540736645
ma_120_bias,0.014444019498934568,0.014444019498934568,0.026163880866205264,0.31170638453224114,0.16307520201558787
white_direction,0.0003957126751257167,0.0003957126751257167,0.027176042661599415,0.3237648897447261,0.16208030120992592
MACD_HIST,0.011698015400462608,0.011698015400462608,0.025517559645054706,0.30400636280681265,0.15785218910363763
vol_half_above_count,0.09037769541322395,0.09037769541322395,0.017793083614174112,0.21197993491163922,0.1511788151624316
K,0.009195750759397584,0.009195750759397584,0.023626932379685297,0.2814821588326394,0.1453389547960185
