feature,gain,split
oamv_volatility_20d,7811.715961456299,253
oamv_amount_ratio,3411.615330219269,134
oamv_change_3d,2497.537298679352,127
oamv_change_pct,2459.0620708465576,125
oamv_change_5d,1912.7893590927124,129
macd_dea,1762.1650338172913,81
macd_hist,1539.6801092624664,82
shadow_lower,1321.7908391952515,99
ret_20d,1286.6494014263153,112
white_yellow_distance,1155.617669582367,91
brick_val,1125.9234981536865,101
pullback_10d,1099.511832356453,103
volume_ratio_5d,1051.2300148010254,80
b2_position_weight,986.4674053192139,69
volume_ratio_20d,930.5360715389252,88
ret_5d,910.2367734909058,85
j_prev_diff,862.5962495803833,77
volume_ratio_1d,753.3337090015411,74
macd_hist_diff,689.3551880121231,76
ret_10d,653.9561985731125,68
d,627.3057208061218,61
gain_today,559.9902927875519,59
white_line,551.6200402975082,50
yellow_line,546.3640584945679,57
brick_red_streak,540.2960443496704,30
shadow_upper,535.3462524414062,49
j,483.45565938949585,51
gap_ratio,472.6653115749359,49
k,385.9335170984268,48
macd_dif,346.9602372273803,31
close_to_high_ratio,329.1962044239044,36
brick_green_streak,56.6933798789978,7
oamv_signal,55.685730934143066,5
oamv_is_normal,45.7052698135376,3
brick_rising,12.541000366210938,1
brick_green_to_red,8.794210433959961,1
b2_prior_strong,8.109339714050293,1
oamv_is_aggressive,7.340950012207031,1
white_above_yellow,0.0,0
close_above_yellow,0.0,0
cross_below_yellow,0.0,0
brick_red_to_green,0.0,0
brick_falling,0.0,0
oamv_is_defensive,0.0,0
