date,close_sh,amount_sh,amount_sz,amount_total
2010-01-04,3243.76,133773495629.0,82279389105.2,216052884734.2
2010-01-05,3282.179,161858172982.0,102396239246.8,264254412228.8
2010-01-06,3254.215,158040114736.0,102885599647.4,260925714383.4
2010-01-07,3192.776,157229581955.0,104255826243.7,261485408198.7
2010-01-08,3195.997,121739882072.0,83121832157.1,204861714229.1
2010-01-11,3212.75,177557637091.0,100191732911.9,277749370002.9
2010-01-12,3273.966,173949587794.0,114497223627.5,288446811421.5
2010-01-13,3172.658,197329891934.0,125462822199.7,322792714133.7
2010-01-14,3215.55,168004201475.0,119005748177.2,287009949652.2
2010-01-15,3224.152,151441932665.0,106094793755.3,257536726420.3
2010-01-18,3237.098,169760710358.0,107166679934.7,276927390292.7
2010-01-19,3246.874,162672571501.0,106741858134.3,269414429635.3
2010-01-20,3151.85,192661666821.0,129108774405.9,321770441226.9
2010-01-21,3158.863,142103163040.0,83515463729.1,225618626769.1
2010-01-22,3128.588,163570680340.0,95362751478.4,258933431818.4
2010-01-25,3094.411,95145982252.0,58663974601.3,153809956853.3
2010-01-26,3019.394,109256964462.0,70793206367.7,180050170829.7
2010-01-27,2986.607,90324580783.0,58934968396.9,149259549179.9
2010-01-28,2994.143,85654271668.0,58797396957.3,144451668625.3
2010-01-29,2989.292,95656890361.0,68325810205.200005,163982700566.2
2010-02-01,2941.36,103760395664.0,72834495732.3,176594891396.3
2010-02-02,2934.713,97685864726.2,62815854020.5,160501718746.7
2010-02-03,3003.835,119046397347.0,79662957214.4,198709354561.4
2010-02-04,2995.308,114601290078.0,80899115482.09999,195500405560.1
2010-02-05,2939.402,110882284808.0,82478043915.6,193360328723.6
2010-02-08,2935.174,73159983988.0,53138011026.7,126297995014.7
2010-02-09,2948.842,68112416249.0,46757557513.0,114869973762.0
2010-02-10,2982.5,67017903257.0,47639178057.5,114657081314.5
2010-02-11,2985.499,64892509384.0,46997791254.4,111890300638.4
2010-02-12,3018.133,66931569830.0,46456952490.8,113388522320.8
2010-02-22,3003.398,78744835875.0,51860187121.6,130605022996.6
2010-02-23,2982.575,98223524247.0,61432218425.5,159655742672.5
2010-02-24,3022.177,105568658354.2,79631859785.2,185200518139.4
2010-02-25,3060.618,138961506697.0,97670786318.8,236632293015.8
2010-02-26,3051.943,121468972399.0,90144436718.3,211613409117.3
2010-03-01,3087.842,131301895672.0,95365172812.2,226667068484.2
2010-03-02,3073.108,124558675162.0,97506408620.0,222065083782.0
2010-03-03,3097.005,136522058159.00002,102846680272.7,239368738431.7
2010-03-04,3023.373,144939960281.0,114323888429.5,259263848710.5
2010-03-05,3031.065,105764004552.0,76702395556.0,182466400108.0
2010-03-08,3053.232,92751540600.0,69570824108.0,162322364708.0
2010-03-09,3069.141,107489645816.0,78262837171.29999,185752482987.3
