date,symbol,shares
2024-01-26,300857,900
2024-03-11,300857,900
2024-03-12,300857,900
2024-03-12,002756,300
2024-03-15,300857,900
2024-03-18,300857,900
2024-03-18,300620,500
2024-03-26,300857,900
2024-03-26,300620,500
2024-03-27,300857,900
2024-03-27,605117,300
2024-03-28,300857,900
2024-03-29,300857,900
2024-03-29,000938,800
2024-03-29,002230,500
2024-04-01,300857,900
2024-04-01,000938,800
2024-04-01,000988,200
2024-04-01,002340,2300
2024-04-02,300857,900
2024-04-02,000988,200
2024-04-02,002340,2300
2024-04-02,002738,200
2024-04-12,300857,900
2024-04-12,002340,2300
2024-04-15,300857,900
2024-04-15,002340,2300
2024-04-15,688629,400
2024-04-17,300857,900
2024-04-17,002340,2300
2024-04-18,300857,900
2024-04-18,002340,2300
2024-04-18,301308,200
2024-04-23,300857,900
2024-04-24,300857,900
2024-04-24,300347,300
2024-04-25,300857,900
2024-04-25,002281,700
2024-04-26,300857,900
2024-04-26,002281,700
2024-04-29,300857,900
2024-04-29,002281,700
2024-04-29,603392,200
2024-05-27,300857,900
2024-05-28,300857,900
2024-05-28,603606,400
2024-05-29,300857,900
2024-05-29,603606,400
2024-05-30,300857,900
2024-05-30,603606,400
2024-05-30,000657,700
2024-05-30,601212,1000
2024-06-03,300857,900
2024-06-04,300857,900
2024-06-04,300308,200
2024-06-05,300857,900
2024-06-05,600383,3800
2024-06-14,300857,900
2024-06-17,300857,900
2024-06-17,603737,600
2024-06-26,300857,900
2024-06-27,300857,900
2024-06-27,300476,1000
2024-06-28,300857,900
2024-06-28,300476,1000
2024-07-01,300857,900
2024-07-01,300476,1000
2024-07-01,601127,100
2024-07-09,300857,900
2024-07-09,300476,1000
2024-07-10,300857,900
2024-07-10,300476,1000
2024-07-10,601777,2700
2024-07-10,603228,100
2024-07-26,300857,900
2024-07-26,300476,1000
2024-07-26,601777,2700
2024-07-29,300857,900
2024-07-29,300476,1000
2024-07-29,601777,2700
2024-07-29,600733,200
2024-08-06,601777,2700
2024-08-06,600733,200
2024-08-07,601777,2700
2024-08-07,600733,200
2024-08-07,605117,800
2024-08-09,601777,2700
2024-08-12,601777,2700
2024-08-12,688256,200
2024-09-10,601777,2700
2024-09-11,601777,2700
2024-09-11,000158,6500
2024-09-11,002261,1400
2024-09-18,601777,2700
2024-09-18,000158,6500
2024-09-18,002261,1400
2024-09-19,601777,2700
2024-09-19,000158,6500
2024-09-19,002261,1400
2024-09-19,600383,800
2024-10-16,601777,2700
2024-10-16,000158,6500
2024-10-16,002261,1400
2024-10-16,600383,800
2024-10-17,601777,2700
2024-10-17,000158,6500
2024-10-17,002261,1400
2024-10-17,600383,800
2024-10-17,600988,200
2024-10-18,601777,2700
2024-10-18,000158,6500
2024-10-18,002261,1400
2024-10-18,600383,800
2024-10-18,600988,200
2024-10-21,601777,2700
2024-10-21,000158,6500
2024-10-21,002261,1400
2024-10-21,600383,800
2024-10-21,600988,200
2024-10-21,002156,100
2024-10-22,601777,2700
2024-10-22,000158,6500
2024-10-22,002261,1400
2024-10-22,600383,800
2024-10-22,600988,200
2024-10-22,002156,100
2024-10-23,601777,2700
2024-10-23,000158,6500
2024-10-23,002261,1400
2024-10-23,600383,800
2024-10-23,600988,200
2024-10-23,002156,100
2024-10-24,601777,2700
2024-10-24,000158,6500
2024-10-24,002261,1400
2024-10-24,600383,800
2024-10-24,600988,200
2024-10-24,002156,100
2024-10-30,601777,2700
2024-10-30,000158,6500
2024-10-30,002261,1400
2024-10-30,600383,800
2024-10-30,600988,200
2024-10-30,002156,100
2024-10-31,601777,2700
2024-10-31,000158,6500
2024-10-31,002261,1400
2024-10-31,600383,800
2024-10-31,002156,100
2024-11-04,601777,2700
2024-11-04,000158,6500
2024-11-04,002261,1400
2024-11-04,600383,800
2024-11-04,002156,100
2024-11-05,601777,2700
2024-11-05,000158,6500
2024-11-05,002261,1400
2024-11-05,600383,800
2024-11-05,002156,100
2024-11-06,601777,2700
2024-11-06,000158,6500
2024-11-06,002261,1400
2024-11-06,600383,800
2024-11-06,002156,100
2024-11-06,300769,100
2024-11-12,601777,2700
2024-11-12,000158,6500
2024-11-12,002261,1400
2024-11-12,600383,800
2024-11-12,002156,100
2024-11-12,300769,100
2024-11-13,601777,2700
2024-11-13,000158,6500
2024-11-13,002261,1400
2024-11-13,600383,800
2024-11-13,002156,100
2024-11-13,300769,100
2024-11-18,601777,2700
2024-11-18,000158,6500
2024-11-18,002261,1400
2024-11-18,600383,800
2024-11-18,002156,100
2024-11-19,601777,2700
2024-11-19,000158,6500
2024-11-19,002261,1400
2024-11-19,600383,800
2024-11-19,002156,100
2024-11-19,000069,900
2024-11-19,002146,400
2024-11-19,600606,100
2024-11-20,601777,2700
2024-11-20,000158,6500
2024-11-20,002261,1400
2024-11-20,600383,800
2024-11-20,002156,100
2024-11-20,002240,100
2024-11-20,002583,100
2024-11-20,301526,300
2024-11-21,601777,2700
2024-11-21,000158,6500
2024-11-21,002261,1400
2024-11-21,600383,800
2024-11-21,002156,100
2024-11-21,002583,100
2024-11-21,301526,300
2024-11-22,601777,2700
2024-11-22,000158,6500
2024-11-22,002261,1400
2024-11-22,600383,800
2024-11-22,002156,100
2024-11-22,002583,100
2024-11-25,601777,2700
2024-11-25,000158,6500
2024-11-25,002261,1400
2024-11-25,600383,800
2024-11-25,002156,100
2024-11-26,601777,2700
2024-11-26,000158,6500
2024-11-26,002261,1400
2024-11-26,600383,800
2024-11-26,002156,100
2024-11-26,002607,600
2024-11-27,601777,2700
2024-11-27,000158,6500
2024-11-27,002261,1400
2024-11-27,600383,800
2024-11-27,002156,100
2024-11-28,601777,2700
2024-11-28,000158,6500
2024-11-28,002261,1400
2024-11-28,600383,800
2024-11-28,002156,100
2024-11-28,002241,100
2024-11-29,601777,2700
2024-11-29,000158,6500
2024-11-29,002261,1400
2024-11-29,600383,800
2024-11-29,002156,100
2024-11-29,002241,100
2024-12-02,601777,2700
2024-12-02,000158,6500
2024-12-02,002261,1400
2024-12-02,600383,800
2024-12-02,002156,100
2024-12-02,002241,100
2024-12-03,601777,2700
2024-12-03,000158,6500
2024-12-03,002261,1400
2024-12-03,600383,800
2024-12-03,002156,100
2024-12-03,002241,100
2024-12-19,601777,2700
2024-12-19,000158,6500
2024-12-19,002261,1400
2024-12-19,600383,800
2024-12-19,002156,100
2024-12-19,002241,100
2024-12-20,601777,2700
2024-12-20,000158,6500
2024-12-20,002261,1400
2024-12-20,600383,800
2024-12-20,002156,100
2024-12-20,002241,100
2024-12-23,601777,2700
2024-12-23,000158,6500
2024-12-23,002261,1400
2024-12-23,600383,800
2024-12-23,002156,100
2024-12-23,002241,100
2024-12-23,002131,100
2024-12-24,601777,2700
2024-12-24,000158,6500
2024-12-24,002261,1400
2024-12-24,600383,800
2024-12-24,002156,100
2024-12-24,002241,100
2024-12-25,601777,2700
2024-12-25,000158,6500
2024-12-25,002261,1400
2024-12-25,600383,800
2024-12-25,002156,100
2024-12-25,002241,100
2024-12-26,601777,2700
2024-12-26,000158,6500
2024-12-26,002261,1400
2024-12-26,600383,800
2024-12-26,002156,100
2024-12-26,002241,100
2024-12-27,601777,2700
2024-12-27,000158,6500
2024-12-27,002261,1400
2024-12-27,600383,800
2024-12-27,002156,100
2024-12-27,002241,100
2024-12-30,601777,2700
2024-12-30,000158,6500
2024-12-30,002261,1400
2024-12-30,600383,800
2024-12-30,002156,100
2024-12-30,002241,100
2024-12-31,601777,2700
2024-12-31,000158,6500
2024-12-31,002261,1400
2024-12-31,600383,800
2024-12-31,002156,100
2024-12-31,002241,100
2025-01-02,601777,2700
2025-01-02,000158,6500
2025-01-02,002261,1400
2025-01-02,600383,800
2025-01-02,002156,100
2025-01-02,002241,100
2025-01-03,601777,2700
2025-01-03,000158,6500
2025-01-03,002261,1400
2025-01-03,600383,800
2025-01-03,002156,100
2025-01-03,002241,100
2025-01-06,601777,2700
2025-01-06,000158,6500
2025-01-06,002261,1400
2025-01-06,002156,100
2025-01-07,601777,2700
2025-01-07,000158,6500
2025-01-07,002261,1400
2025-01-07,002156,100
2025-01-07,600160,100
2025-01-08,601777,2700
2025-01-08,000158,6500
2025-01-08,002261,1400
2025-01-08,002156,100
2025-01-08,000977,100
2025-01-08,301377,100
2025-01-08,300476,100
2025-01-08,600601,100
2025-01-09,601777,2700
2025-01-09,000158,6500
2025-01-09,002261,1400
2025-01-09,002156,100
2025-01-09,000977,100
2025-01-09,301377,100
2025-01-09,300476,100
2025-01-09,600601,100
2025-01-10,601777,2700
2025-01-10,000158,6500
2025-01-10,002261,1400
2025-01-10,002156,100
