date,symbol,shares
2026-01-05,600580,200
2026-01-05,600879,600
2026-01-05,600673,500
2026-01-05,002414,2900
2026-01-05,601168,400
2026-01-05,601608,3600
2026-01-05,600704,3600
2026-01-05,600516,900
2026-01-06,600580,200
2026-01-06,600879,600
2026-01-06,600673,500
2026-01-06,002414,2900
2026-01-06,601168,400
2026-01-06,601608,3600
2026-01-06,600704,3600
2026-01-06,600516,900
2026-01-07,600580,200
2026-01-07,600879,600
2026-01-07,600673,500
2026-01-07,002414,2900
2026-01-07,601168,400
2026-01-07,601608,3600
2026-01-07,600704,3600
2026-01-07,600516,900
2026-01-08,600580,200
2026-01-08,600879,600
2026-01-08,600673,500
2026-01-08,002414,2900
2026-01-08,601168,400
2026-01-08,601608,3600
2026-01-08,600704,3600
2026-01-08,600516,900
2026-01-09,600580,200
2026-01-09,600879,600
2026-01-09,600673,500
2026-01-09,002414,2900
2026-01-09,601168,400
2026-01-09,601608,3600
2026-01-09,600704,3600
2026-01-09,600516,900
2026-01-12,600580,200
2026-01-12,600879,600
2026-01-12,600673,500
2026-01-12,002414,2900
2026-01-12,601168,400
2026-01-12,601608,3600
2026-01-12,600704,3600
2026-01-12,600516,900
2026-01-12,600511,400
2026-01-12,600528,1300
2026-01-12,600970,500
2026-01-13,600673,500
2026-01-13,002414,2900
2026-01-13,601168,400
2026-01-13,600704,3600
2026-01-13,600516,900
2026-01-13,600511,400
2026-01-13,600528,1300
2026-01-13,600970,500
2026-01-14,600673,500
2026-01-14,002414,2900
2026-01-14,601168,400
2026-01-14,600704,3600
2026-01-14,600516,900
2026-01-14,600511,400
2026-01-14,600528,1300
2026-01-14,600970,500
2026-01-15,002414,2900
2026-01-15,601168,400
2026-01-15,600704,3600
2026-01-15,600516,900
2026-01-15,600511,400
2026-01-15,600528,1300
2026-01-15,600970,500
2026-01-16,002414,2900
2026-01-16,601168,400
2026-01-16,600704,3600
2026-01-16,600516,900
2026-01-16,600511,400
2026-01-16,600528,1300
2026-01-16,600970,500
2026-01-19,600580,300
2026-01-19,600879,600
2026-01-19,600673,500
2026-01-19,002414,2900
2026-01-19,601168,400
2026-01-19,600704,3600
2026-01-19,600516,900
2026-01-19,600511,400
2026-01-19,600528,1300
2026-01-19,600970,500
2026-01-19,002128,400
2026-01-19,600637,800
2026-01-19,002195,800
2026-01-19,600435,300
2026-01-20,600580,300
2026-01-20,600879,600
2026-01-20,600673,500
2026-01-20,002414,2900
2026-01-20,601168,400
2026-01-20,600704,3600
2026-01-20,600511,400
2026-01-20,600528,1300
2026-01-20,600970,500
2026-01-20,002128,400
2026-01-20,600637,800
2026-01-20,002195,800
2026-01-20,600435,300
2026-01-21,600580,300
2026-01-21,600879,600
2026-01-21,600673,500
2026-01-21,601168,400
2026-01-21,600704,3600
2026-01-21,600511,400
2026-01-21,600528,1300
2026-01-21,600970,500
2026-01-21,002128,400
2026-01-21,600637,800
2026-01-21,002195,800
2026-01-21,600435,300
2026-01-22,600580,300
2026-01-22,600879,600
2026-01-22,600673,500
2026-01-22,601168,400
2026-01-22,600704,3600
2026-01-22,600511,400
2026-01-22,600528,1300
2026-01-22,600970,500
2026-01-22,002128,400
2026-01-22,600637,800
2026-01-22,002195,800
2026-01-22,600435,300
2026-01-23,600580,300
2026-01-23,600879,600
2026-01-23,601168,400
2026-01-23,600704,3600
2026-01-23,600511,400
2026-01-23,600528,1300
2026-01-23,600970,500
2026-01-23,002128,400
2026-01-23,600637,800
2026-01-23,002195,800
2026-01-23,600435,300
2026-01-26,600580,400
2026-01-26,600879,600
2026-01-26,600673,600
2026-01-26,002414,1000
2026-01-26,601168,400
2026-01-26,600704,3600
2026-01-26,600511,400
2026-01-26,600528,1300
2026-01-26,600970,500
2026-01-26,002128,400
2026-01-26,600637,800
2026-01-26,600435,300
2026-01-26,002155,500
2026-01-27,600580,400
2026-01-27,600879,600
2026-01-27,600673,600
2026-01-27,002414,1000
2026-01-27,601168,400
2026-01-27,600704,3600
2026-01-27,600511,400
2026-01-27,600528,1300
2026-01-27,600970,500
2026-01-27,002128,400
2026-01-27,600637,800
2026-01-27,600435,300
2026-01-27,002155,500
2026-01-28,600580,400
2026-01-28,600879,600
2026-01-28,600673,600
2026-01-28,002414,1000
2026-01-28,601168,400
2026-01-28,600704,3600
2026-01-28,600511,400
2026-01-28,600528,1300
2026-01-28,600970,500
2026-01-28,002128,400
2026-01-28,600637,800
2026-01-28,600435,300
2026-01-28,002155,500
2026-01-29,600580,400
2026-01-29,600879,600
2026-01-29,600673,600
2026-01-29,002414,1000
2026-01-29,601168,400
2026-01-29,600704,3600
2026-01-29,600511,400
2026-01-29,600528,1300
2026-01-29,600970,500
2026-01-29,002128,400
2026-01-29,600637,800
2026-01-29,600435,300
2026-01-29,002155,500
2026-01-30,600673,600
2026-01-30,600704,3600
2026-01-30,600511,400
2026-01-30,600528,1300
2026-01-30,600970,500
2026-01-30,002155,500
2026-02-02,600580,400
2026-02-02,600879,700
2026-02-02,600673,600
2026-02-02,002414,1100
2026-02-02,601168,500
2026-02-02,600511,400
2026-02-02,002128,600
2026-02-02,600637,2200
2026-02-02,600435,1100
2026-02-02,000563,1500
2026-02-03,600580,400
2026-02-03,600879,700
2026-02-03,600673,600
2026-02-03,002414,1100
2026-02-03,601168,500
2026-02-03,600511,400
2026-02-03,002128,600
2026-02-03,600637,2200
2026-02-03,600435,1100
2026-02-03,000563,1500
2026-02-04,600580,400
2026-02-04,600879,700
2026-02-04,600673,600
2026-02-04,002414,1100
2026-02-04,601168,500
2026-02-04,600511,400
2026-02-04,002128,600
2026-02-04,600637,2200
2026-02-04,600435,1100
2026-02-04,000563,1500
2026-02-05,600580,400
2026-02-05,600879,700
2026-02-05,600673,600
2026-02-05,002414,1100
2026-02-05,601168,500
2026-02-05,600511,400
2026-02-05,002128,600
2026-02-05,600637,2200
2026-02-05,600435,1100
2026-02-05,000563,1500
2026-02-06,600580,400
2026-02-06,600511,400
2026-02-06,600637,2200
2026-02-06,600435,1100
2026-02-06,000563,1500
2026-02-09,600580,400
2026-02-09,600879,900
2026-02-09,600673,800
2026-02-09,002414,1500
2026-02-09,601168,800
2026-02-09,600511,400
2026-02-09,002128,500
2026-02-09,600637,2200
2026-02-09,000563,1500
2026-02-09,600021,500
2026-02-10,600580,400
2026-02-10,600879,900
2026-02-10,600673,800
2026-02-10,002414,1500
2026-02-10,601168,800
2026-02-10,600511,400
2026-02-10,002128,500
2026-02-10,600637,2200
2026-02-10,000563,1500
2026-02-10,600021,500
2026-02-11,600580,400
2026-02-11,600879,900
2026-02-11,600673,800
2026-02-11,002414,1500
2026-02-11,601168,800
2026-02-11,600511,400
2026-02-11,002128,500
2026-02-11,600637,2200
2026-02-11,000563,1500
2026-02-11,600021,500
2026-02-12,600580,400
2026-02-12,600879,900
2026-02-12,600673,800
2026-02-12,002414,1500
2026-02-12,601168,800
2026-02-12,600511,400
2026-02-12,002128,500
2026-02-12,600637,2200
2026-02-12,000563,1500
2026-02-12,600021,500
2026-02-13,600580,400
2026-02-13,600879,900
2026-02-13,600673,800
2026-02-13,600511,400
2026-02-13,600637,2200
2026-02-13,000563,1500
2026-02-13,600021,500
2026-02-24,600580,400
2026-02-24,600879,1000
2026-02-24,600673,800
2026-02-24,002414,1100
2026-02-24,601168,700
2026-02-24,600511,400
2026-02-24,002128,400
2026-02-24,600637,2200
2026-02-24,000563,1500
2026-02-24,600021,500
2026-02-24,002064,800
2026-02-25,600580,400
2026-02-25,600879,1000
2026-02-25,600673,800
2026-02-25,002414,1100
2026-02-25,601168,700
2026-02-25,600511,400
2026-02-25,002128,400
2026-02-25,600637,2200
2026-02-25,000563,1500
2026-02-25,600021,500
2026-02-25,002064,800
2026-02-26,600580,400
2026-02-26,600879,1000
2026-02-26,600673,800
2026-02-26,002414,1100
2026-02-26,601168,700
2026-02-26,600511,400
2026-02-26,002128,400
2026-02-26,000563,1500
2026-02-26,002064,800
2026-02-27,600580,400
2026-02-27,600879,1000
2026-02-27,600673,800
2026-02-27,002414,1100
2026-02-27,601168,700
2026-02-27,600511,400
2026-02-27,002128,400
2026-02-27,000563,1500
2026-02-27,002064,800
2026-03-02,600580,400
2026-03-02,600879,1000
2026-03-02,600673,800
2026-03-02,002414,1000
2026-03-02,601168,700
2026-03-02,600511,400
2026-03-02,002128,400
2026-03-02,600435,700
2026-03-02,000563,1500
2026-03-02,002064,800
2026-03-02,600498,300
2026-03-02,600563,100
2026-03-03,600673,800
2026-03-03,002414,1000
2026-03-03,600511,400
2026-03-03,002128,400
2026-03-03,600435,700
2026-03-03,000563,1500
2026-03-03,600498,300
2026-03-03,600563,100
2026-03-04,600673,800
2026-03-04,002414,1000
2026-03-04,600511,400
2026-03-04,002128,400
2026-03-04,600435,700
2026-03-04,000563,1500
2026-03-04,600498,300
2026-03-04,600563,100
2026-03-05,600673,800
2026-03-05,002414,1000
2026-03-05,600511,400
2026-03-05,002128,400
2026-03-05,600435,700
2026-03-05,000563,1500
2026-03-05,600498,300
2026-03-05,600563,100
2026-03-06,600673,800
2026-03-06,600511,400
2026-03-06,002128,400
2026-03-06,600435,700
2026-03-06,000563,1500
2026-03-06,600563,100
2026-03-09,600580,600
2026-03-09,600879,600
2026-03-09,600673,800
2026-03-09,601168,500
2026-03-09,600511,400
2026-03-09,002128,400
2026-03-09,000563,1500
2026-03-09,600498,300
2026-03-09,600563,100
2026-03-09,600801,800
2026-03-09,600863,1200
2026-03-09,600282,900
2026-03-10,600580,600
2026-03-10,600879,600
2026-03-10,600673,800
2026-03-10,601168,500
2026-03-10,600511,400
2026-03-10,000563,1500
2026-03-10,600498,300
2026-03-10,600563,100
2026-03-10,600801,800
2026-03-10,600863,1200
2026-03-10,600282,900
2026-03-11,600580,600
2026-03-11,600879,600
2026-03-11,601168,500
2026-03-11,600511,400
2026-03-11,000563,1500
2026-03-11,600498,300
2026-03-11,600563,100
2026-03-11,600801,800
2026-03-11,600863,1200
2026-03-11,600282,900
2026-03-12,600580,600
2026-03-12,600879,600
2026-03-12,601168,500
2026-03-12,600511,400
2026-03-12,000563,1500
2026-03-12,600498,300
2026-03-12,600563,100
2026-03-12,600801,800
2026-03-12,600863,1200
2026-03-12,600282,900
2026-03-13,600580,600
2026-03-13,600511,400
2026-03-13,000563,1500
2026-03-13,600563,100
2026-03-13,600801,800
2026-03-13,600863,1200
2026-03-16,600580,600
2026-03-16,600879,1100
2026-03-16,600673,700
2026-03-16,002414,800
2026-03-16,601168,900
2026-03-16,600511,400
2026-03-16,002128,400
2026-03-16,000563,1500
2026-03-16,600498,400
2026-03-16,600563,100
2026-03-16,600392,300
2026-03-17,600879,1100
2026-03-17,600673,700
2026-03-17,002414,800
2026-03-17,601168,900
2026-03-17,600511,400
2026-03-17,002128,400
2026-03-17,000563,1500
2026-03-17,600498,400
2026-03-17,600563,100
2026-03-17,600392,300
2026-03-18,600879,1100
2026-03-18,600673,700
2026-03-18,002414,800
2026-03-18,601168,900
2026-03-18,600511,400
2026-03-18,002128,400
2026-03-18,000563,1500
2026-03-18,600498,400
2026-03-18,600563,100
2026-03-18,600392,300
2026-03-19,600879,1100
2026-03-19,600673,700
2026-03-19,002414,800
2026-03-19,601168,900
2026-03-19,600511,400
