date,symbol,shares
2026-01-07,601933,6700
2026-01-08,601933,6700
2026-01-08,601126,700
2026-01-09,601933,6700
2026-01-09,601126,700
2026-01-12,601933,6700
2026-01-12,601126,700
2026-01-12,688048,200
2026-01-14,601933,6700
2026-01-14,601126,700
2026-01-15,601126,700
2026-01-15,000703,1800
2026-01-16,601126,700
2026-01-16,002475,700
2026-01-19,601126,700
2026-01-19,002475,700
2026-01-19,000559,500
2026-01-19,601100,100
2026-01-19,601869,100
2026-01-20,601126,700
2026-01-20,002475,700
2026-01-20,000559,500
2026-01-20,601869,100
2026-01-20,600372,400
2026-01-20,600862,1100
2026-01-21,601126,700
2026-01-21,000559,500
2026-01-21,600862,1100
2026-01-22,601126,700
2026-01-22,000559,500
2026-01-22,600862,1100
2026-01-22,002756,100
2026-01-22,688608,100
2026-01-23,601126,700
2026-01-23,000559,500
2026-01-23,600862,1100
2026-01-23,002756,100
2026-01-23,601698,400
2026-01-23,601992,4100
2026-01-26,601126,700
2026-01-26,601992,4100
2026-01-26,688005,900
2026-01-26,688375,100
2026-01-26,688385,100
2026-01-26,688568,100
2026-01-27,601126,700
2026-01-28,601126,700
2026-01-28,002222,200
2026-01-28,688313,300
2026-01-29,601126,700
2026-01-29,688313,300
2026-01-30,601126,700
2026-01-30,688313,300
2026-01-30,002230,300
2026-02-02,601126,700
2026-02-02,688313,300
2026-02-02,000973,900
2026-02-03,601126,700
2026-02-03,688313,300
2026-02-03,601179,1700
2026-02-04,601126,700
2026-02-04,688313,300
2026-02-04,002202,700
2026-02-04,002273,500
2026-02-04,300285,100
2026-02-04,300450,100
2026-02-04,600673,1100
2026-02-04,600765,400
2026-02-04,600862,200
2026-02-04,601865,100
2026-02-04,600879,800
2026-02-04,601100,100
2026-02-04,603688,100
2026-02-05,601126,700
2026-02-05,002273,500
2026-02-05,600673,1100
2026-02-05,600765,400
2026-02-05,600862,200
2026-02-05,601865,100
2026-02-05,600879,800
2026-02-05,601100,100
2026-02-05,603688,100
2026-02-06,601126,700
2026-02-06,002273,500
2026-02-06,600879,800
2026-02-06,601100,100
2026-02-06,603688,100
2026-02-09,601126,700
2026-02-09,002273,500
2026-02-09,601100,100
2026-02-09,603688,100
2026-02-09,001203,300
2026-02-10,601126,700
2026-02-10,002273,500
2026-02-10,601100,100
2026-02-10,603688,100
2026-02-10,001203,300
2026-02-10,000021,500
2026-02-10,300395,100
2026-02-10,600392,300
2026-02-10,600584,100
2026-02-10,688469,100
2026-02-11,601126,700
2026-02-11,002273,500
2026-02-11,601100,100
2026-02-11,603688,100
2026-02-11,001203,300
2026-02-11,300395,100
2026-02-11,600392,300
2026-02-11,600584,100
2026-02-11,688469,100
2026-02-12,601126,700
2026-02-12,002273,500
2026-02-12,601100,100
2026-02-12,603688,100
2026-02-12,001203,300
2026-02-12,300395,100
2026-02-12,600392,300
2026-02-13,601126,700
2026-02-13,002273,500
2026-02-13,601100,100
2026-02-13,603688,100
2026-02-13,001203,300
2026-02-13,300395,100
2026-02-13,600392,300
2026-02-13,002131,400
2026-02-24,601126,700
2026-02-24,002273,500
2026-02-24,603688,100
2026-02-24,001203,300
2026-02-24,300395,100
2026-02-24,600392,300
2026-02-24,002131,400
2026-02-25,601126,700
2026-02-25,002273,500
2026-02-25,603688,100
2026-02-25,001203,300
2026-02-25,300395,100
2026-02-25,600392,300
2026-02-25,002131,400
2026-02-26,601126,700
2026-02-26,002273,500
2026-02-26,603688,100
2026-02-26,001203,300
2026-02-26,300395,100
2026-02-26,600392,300
2026-02-26,002131,400
2026-02-26,000547,300
2026-02-26,600884,200
2026-03-05,601126,700
2026-03-05,002273,500
2026-03-05,603688,100
2026-03-05,001203,300
2026-03-05,300395,100
2026-03-05,600392,300
2026-03-05,000547,300
2026-03-06,601126,700
2026-03-06,002273,500
2026-03-06,603688,100
2026-03-06,001203,300
2026-03-06,300395,100
2026-03-06,600392,300
2026-03-06,000547,300
2026-03-09,601126,700
2026-03-09,002273,500
2026-03-09,603688,100
2026-03-09,001203,300
2026-03-09,300395,100
2026-03-09,600392,300
2026-03-09,000547,300
2026-03-10,601126,700
2026-03-10,002273,500
