date,nav_total,nav_normalized,cash,positions_count,regime
2026-01-05,100000.0,1.0,100000.0,0,aggressive
2026-01-06,100711.14,1.007111,70471.14,1,aggressive
2026-01-07,104832.2,1.048322,20634.2,4,aggressive
2026-01-08,103466.29,1.034663,14272.29,5,aggressive
2026-01-14,105627.1,1.056271,43610.1,4,aggressive
2026-01-15,106772.82,1.067728,42047.82,4,normal
2026-01-16,107398.82,1.073988,30124.82,5,normal
2026-01-19,109433.06,1.094331,24389.06,5,normal
2026-01-20,107534.05,1.075341,5629.05,7,normal
2026-01-21,110836.68,1.108367,24374.68,5,normal
2026-01-22,111279.96,1.1128,8529.96,6,normal
2026-01-23,115107.76,1.151078,806.76,9,normal
2026-01-26,115190.37,1.151904,2533.37,9,normal
2026-01-27,116800.03,1.168,20149.03,5,normal
2026-01-28,118004.72,1.180047,12447.72,6,normal
2026-01-29,114637.6,1.146376,19478.6,5,normal
2026-01-30,112108.84,1.121088,10771.84,6,normal
2026-02-02,107848.99,1.07849,9135.99,6,normal
2026-02-03,110360.94,1.103609,7644.94,6,normal
2026-02-04,110711.77,1.107118,19.77,11,normal
2026-02-05,108282.11,1.082821,8351.11,7,normal
2026-02-06,111502.01,1.11502,19177.01,6,normal
2026-02-09,111499.64,1.114996,11254.64,7,normal
2026-02-10,111766.28,1.117663,57.28,9,normal
2026-02-11,116840.01,1.1684,21774.01,6,normal
2026-02-12,120525.7,1.205257,10738.7,7,normal
2026-02-13,117860.1,1.178601,6787.1,7,normal
2026-02-24,120412.1,1.204121,6787.1,7,normal
2026-02-25,125608.49,1.256085,1418.49,9,normal
2026-02-26,126043.49,1.260435,1418.49,9,normal
2026-02-27,132429.49,1.324295,1418.49,9,normal
2026-03-05,129592.69,1.295927,21241.69,6,normal
2026-03-06,131212.28,1.312123,3203.28,8,normal
2026-03-09,130797.83,1.307978,25057.83,5,normal
2026-03-10,132085.83,1.320858,25057.83,5,normal
2026-03-11,129289.62,1.292896,276.62,7,normal
2026-03-12,127212.19,1.272122,9623.19,6,normal
2026-03-13,122745.66,1.227457,9916.66,6,normal
2026-03-16,120957.21,1.209572,25628.21,5,normal
2026-03-17,117014.54,1.170145,4860.54,5,normal
2026-03-18,120515.54,1.205155,4860.54,5,normal
2026-03-19,114365.25,1.143653,3065.25,7,normal
2026-03-20,112488.2,1.124882,9270.2,6,normal
2026-03-23,109295.67,1.092957,65939.67,4,normal
2026-03-24,111606.57,1.116066,8933.57,7,normal
2026-03-25,115126.16,1.151262,4495.16,11,normal
2026-03-26,114676.2,1.146762,1596.2,12,normal
2026-03-27,115452.02,1.15452,32459.02,7,normal
2026-03-30,115403.29,1.154033,40708.29,6,normal
2026-04-01,113505.58,1.135056,44326.58,5,normal
2026-04-02,112403.99,1.12404,3363.99,7,normal
2026-04-03,113520.98,1.13521,39474.98,4,normal
2026-04-07,120604.26,1.206043,13739.26,5,normal
2026-04-08,119168.0,1.19168,9142.0,6,normal
2026-04-09,120399.0,1.20399,362.0,8,normal
2026-04-10,119891.81,1.198918,25858.81,5,normal
2026-04-13,119576.92,1.195769,9561.92,6,normal
2026-04-15,119562.24,1.195622,21602.24,5,normal
2026-04-16,118891.83,1.188918,7492.83,6,normal
2026-04-17,116541.91,1.165419,25094.91,5,normal
2026-04-20,117010.51,1.170105,32669.51,5,normal
2026-04-21,117856.27,1.178563,39768.27,4,normal
2026-04-22,118386.68,1.183867,34474.68,5,normal
2026-04-23,117173.68,1.171737,34474.68,5,normal
2026-04-24,119349.68,1.193497,34474.68,5,normal
2026-04-27,123107.01,1.23107,1894.01,7,normal
2026-04-28,122151.85,1.221519,24290.85,5,normal
2026-04-29,130020.85,1.300209,24290.85,5,normal
2026-04-30,130167.32,1.301673,2515.32,9,normal
2026-05-06,134974.32,1.349743,2515.32,9,aggressive
2026-05-07,128501.32,1.285013,2515.32,9,normal
