date,code,shares,buy_price,buy_date,current_price,market_value,unrealized_pnl,unrealized_pnl_pct,weight
2026-01-05,,0,0.0,,0.0,0.0,0.0,0.0,0.0
2026-01-06,600601,2400,12.3,2026-01-06,12.6,30240.0,711.14,2.41,1.7999999999999998
2026-01-07,000657,900,30.0,2026-01-07,32.0,28800.0,1791.9,6.63,2.34
2026-01-07,000825,1800,5.15,2026-01-07,5.35,9630.0,357.22,3.85,1.3
2026-01-07,600601,2400,12.3,2026-01-06,13.33,31992.0,2463.14,8.34,1.7999999999999998
2026-01-07,601933,2800,4.84,2026-01-07,4.92,13776.0,219.93,1.62,2.457
2026-01-08,000657,900,30.0,2026-01-07,31.02,27918.0,909.9,3.37,2.34
2026-01-08,000825,1800,5.15,2026-01-07,5.44,9792.0,519.22,5.6,1.3
2026-01-08,600601,2400,12.3,2026-01-06,12.99,31176.0,1647.14,5.58,1.7999999999999998
2026-01-08,601126,200,31.8,2026-01-08,31.12,6224.0,-137.91,-2.17,2.6999999999999997
2026-01-08,601933,2800,4.84,2026-01-07,5.03,14084.0,527.93,3.89,2.457
2026-01-14,000657,900,30.0,2026-01-07,34.81,31329.0,4320.9,16.0,2.34
2026-01-14,000825,1800,5.15,2026-01-07,5.32,9576.0,303.22,3.27,1.3
2026-01-14,601126,200,31.8,2026-01-08,35.14,7028.0,666.09,10.47,2.6999999999999997
2026-01-14,601933,2800,4.84,2026-01-07,5.03,14084.0,527.93,3.89,2.457
2026-01-15,000657,900,30.0,2026-01-07,36.73,33057.0,6048.9,22.4,2.34
2026-01-15,000703,1400,10.84,2026-01-15,10.67,14938.0,-242.55,-1.6,1.638
2026-01-15,000825,1800,5.15,2026-01-07,5.37,9666.0,393.22,4.24,1.3
2026-01-15,601126,200,31.8,2026-01-08,35.32,7064.0,702.09,11.04,2.6999999999999997
2026-01-16,000657,900,30.0,2026-01-07,37.5,33750.0,6741.9,24.96,2.34
2026-01-16,000825,1800,5.15,2026-01-07,5.25,9450.0,177.22,1.91,1.3
2026-01-16,002326,400,26.24,2026-01-16,27.22,10888.0,388.85,3.7,1.26
2026-01-16,002384,200,80.22,2026-01-16,80.33,16066.0,17.19,0.11,2.6999999999999997
2026-01-16,601126,200,31.8,2026-01-08,35.6,7120.0,758.09,11.92,2.6999999999999997
2026-01-19,000559,900,19.43,2026-01-19,19.42,17478.0,-14.25,-0.08,2.5199999999999996
2026-01-19,000657,900,30.0,2026-01-07,40.26,36234.0,9225.9,34.16,2.34
2026-01-19,601100,100,120.0,2026-01-19,117.17,11717.0,-286.6,-2.39,2.34
