action,date,code,price,shares,cost,weight,regime,pnl,pnl_pct,reason,proceeds
BUY,2026-01-06,600601,12.3,2400,29528.86,1.7999999999999998,aggressive,,,,
BUY,2026-01-08,601126,31.8,900,28628.59,2.6999999999999997,aggressive,,,,
SELL,2026-01-14,600601,12.24,2400,,,,-191.04,-0.65,sig_close(T+6),29337.81
BUY,2026-01-15,000703,10.84,1700,18433.53,1.638,aggressive,,,,
SELL,2026-01-16,000703,10.46,1700,,,,-674.65,-3.66,candle_normal(T+1),17758.88
BUY,2026-01-16,002837,105.0,100,10503.15,1.0499999999999998,normal,,,,
BUY,2026-01-16,603083,128.43,100,12846.85,1.5,normal,,,,
BUY,2026-01-16,603568,27.2,400,10883.26,1.5,normal,,,,
BUY,2026-01-16,603699,53.2,100,5321.6,1.5,normal,,,,
SELL,2026-01-19,002837,102.39,100,,,,-277.46,-2.64,sig_close(T+1),10225.69
SELL,2026-01-19,603083,116.82,100,,,,-1180.04,-9.19,candle_normal(T+1),11666.81
SELL,2026-01-19,603568,26.49,400,,,,-301.04,-2.77,sig_close(T+1),10582.23
BUY,2026-01-19,000559,19.43,1300,25266.58,2.5199999999999996,normal,,,,
BUY,2026-01-20,600029,7.8,1800,14044.21,2.25,normal,,,,
BUY,2026-01-20,600115,6.13,900,5518.66,1.5,normal,,,,
BUY,2026-01-20,600372,15.96,700,11175.35,7.02,normal,,,,
SELL,2026-01-21,600372,15.62,700,,,,-255.57,-2.29,sig_close(T+1),10919.79
SELL,2026-01-22,600115,6.07,900,,,,-62.76,-1.14,candle_normal(T+2),5455.9
BUY,2026-01-22,002240,37.49,400,15000.5,4.5,normal,,,,
SELL,2026-01-23,600029,7.68,1800,,,,-238.18,-1.7,candle_normal(T+3),13806.03
BUY,2026-01-22,002756,54.3,100,5431.63,1.5749999999999997,normal,,,,
SELL,2026-01-26,000559,18.81,1300,,,,-845.37,-3.35,sig_close(T+5),24421.21
BUY,2026-01-26,000547,28.42,900,25585.67,5.8500000000000005,normal,,,,
BUY,2026-01-26,600118,107.65,100,10768.23,5.8500000000000005,normal,,,,
SELL,2026-01-27,000547,27.73,900,,,,-661.12,-2.58,sig_close(T+1),24924.56
SELL,2026-01-27,600118,96.3,100,,,,-1150.75,-10.69,candle_normal(T+1),9617.48
BUY,2026-01-27,601872,11.22,1300,14590.38,2.25,normal,,,,
